Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score
289,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,"542,360","First published September 16, 1996","Under the streets of London there's a world most people could never even dream of. A city of monsters and saints, murderers and angels, knights in armour and pale girls in black velvet. ","30,438",370,Paperback,"52,148"
392,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,"602,859","First published January 5, 1886","Robert Louis Stevenson's masterpiece of the duality of good and evil in man's nature sprang from the darkest recesses of his own unconscious—during a nightmare from which his wife awakened him, alerted by his screams. More than a hundred years later, this tale of the mild-mannered Dr. Jekyll and the drug that unleashes his evil, inner persona—the loathsome, twisted Mr. Hyde—has lost none of its ability to shock. Its realistic police-style narrative chillingly relates Jekyll's desperation as Hyde gains control of his soul—and gives voice to our own fears of the violence and evil within us. Written before Freud's naming of the ego and the id, Stevenson's enduring classic demonstrates a remarkable understanding of the personality's inner conflicts—and remains the irresistibly terrifying stuff of our worst nightmares.","24,488",139,Mass Market Paperback,"34,187"
394,The Martian Chronicles,Ray Bradbury,4.15,"268,545","First published May 4, 1950","The strange and wonderful tale of man’s experiences on Mars, filled with intense images and astonishing visions. Now part of the Voyager Classics collection.","11,734",182,Mass Market Paperback,"33,815"
399,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.32,"1,304,176","First published May 2, 2019",Everyone in Fairview knows the story.,"141,583",433,Paperback,"33,239"
388,It Ends with Us (It Ends with Us #1),Colleen Hoover,4.14,"3,840,979","First published August 2, 2016",Sometimes it is the one who loves you who hurts you the most.,"279,336",386,Kindle Edition,"34,657"
396,Cold Mountain,Charles Frazier,3.89,"244,955","First published January 1, 1997"," is a novel about a soldier’s perilous journey back to his beloved near the Civil War's end. At once a love story & a harrowing account of one man’s long walk home, Cold Mountain introduces a new talent in American literature.","6,714",449,Paperback,"33,454"
390,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.57,"435,783","First published October 8, 2013", She and the remaining crew of the ,"24,180",597,Hardcover,"34,388"
287,The Idiot,Fyodor Dostoevsky,4.21,"190,584","First published January 1, 1869","Returning to Russia from a sanitarium in Switzerland, the Christ-like epileptic Prince Myshkin finds himself enmeshed in a tangle of love, torn between two women—the notorious kept woman Nastasya and the pure Aglaia—both involved, in turn, with the corrupt, money-hungry Ganya. In the end, Myshkin’s honesty, goodness, and integrity are shown to be unequal to the moral emptiness of those around him. In her revision of the Garnett translation, Anna Brailovsky has corrected inaccuracies wrought by Garnett’s drastic anglicization of the novel, restoring as much as possible the syntactical structure of the original story.","9,553",667,Paperback,"52,754"
497,The Reader,Bernhard Schlink,3.78,"216,220","First published January 1, 1995","Hailed for its coiled eroticism and the moral claims it makes upon the reader, this mesmerizing novel is a story of love and secrets, horror and compassion, unfolding against the haunted landscape of postwar Germany.","13,337",216,Hardcover,"23,842"
496,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09,"479,622","First published September 15, 1952","NARNIA... the world of wicked dragons and magic spells, where the very best is brought out of even the worst people, where anything can happen (and most often does)... and where the adventure begins.","11,599",248,Hardcover,"23,935"
